submission_id,response_id,region_code,survey_round,issue_type,issue_label,status,review_note
SUB-0304,SYN-0304,,ROUND_2,missing_required,Missing required value,Open,Synthetic issue detected by an automated rule
SUB-DUP-006,SYN-0305,WEST,ROUND_1,duplicate_response_id,Duplicate response identifier,Open,Synthetic issue detected by an automated rule
SUB-0183,SYN-0183,SOUTH,ROUND_1,date_consistency,Date inconsistency,Open,Synthetic issue detected by an automated rule
SUB-0317,SYN-0317,EAST,ROUND_1,out_of_range,Value outside allowed range,Open,Synthetic issue detected by an automated rule
SUB-0178,SYN-0178,WEST,ROUND_1,skip_logic,Skip-logic violation,Open,Synthetic issue detected by an automated rule
SUB-0135,SYN-0135,WEST,ROUND_2,skip_logic,Skip-logic violation,Open,Synthetic issue detected by an automated rule
SUB-0073,SYN-0073,EAST,ROUND_1,date_consistency,Date inconsistency,Open,Synthetic issue detected by an automated rule
SUB-0144,SYN-0144,WEST,ROUND_2,missing_required,Missing required value,Open,Synthetic issue detected by an automated rule
SUB-0289,SYN-0289,SOUTH,ROUND_1,missing_required,Missing required value,Open,Synthetic issue detected by an automated rule
SUB-0381,SYN-0381,SOUTH,ROUND_2,duplicate_response_id,Duplicate response identifier,Open,Synthetic issue detected by an automated rule
SUB-0305,SYN-0305,WEST,ROUND_1,duplicate_response_id,Duplicate response identifier,Open,Synthetic issue detected by an automated rule
SUB-0298,SYN-0298,NORTH,ROUND_2,missing_required,Missing required value,Open,Synthetic issue detected by an automated rule
SUB-0192,SYN-0192,CENTRAL,ROUND_2,invalid_code,Invalid code,Open,Synthetic issue detected by an automated rule
SUB-0192,SYN-0192,CENTRAL,ROUND_2,region_site_consistency,Region/site inconsistency,Open,Synthetic issue detected by an automated rule
SUB-0239,SYN-0239,EAST,ROUND_1,duplicate_response_id,Duplicate response identifier,Open,Synthetic issue detected by an automated rule
SUB-0233,SYN-0233,NORTH,ROUND_2,date_consistency,Date inconsistency,Open,Synthetic issue detected by an automated rule
SUB-0128,SYN-0128,,ROUND_2,missing_required,Missing required value,Open,Synthetic issue detected by an automated rule
SUB-0066,SYN-0066,NORTH,ROUND_1,duplicate_response_id,Duplicate response identifier,Open,Synthetic issue detected by an automated rule
SUB-DUP-009,SYN-0398,SOUTH,ROUND_2,duplicate_response_id,Duplicate response identifier,Open,Synthetic issue detected by an automated rule
SUB-DUP-003,SYN-0246,SOUTH,ROUND_2,duplicate_response_id,Duplicate response identifier,Open,Synthetic issue detected by an automated rule
SUB-DUP-004,SYN-0056,SOUTH,ROUND_2,duplicate_response_id,Duplicate response identifier,Open,Synthetic issue detected by an automated rule
SUB-DUP-007,SYN-0395,EAST,ROUND_2,duplicate_response_id,Duplicate response identifier,Open,Synthetic issue detected by an automated rule
