submission_id,response_id,synthetic_data,survey_version,survey_round,interview_date,program_start_date,region_code,site_code,enumerator_code,consent,age_group,gender,household_size,disability_access,participated_training,training_date,training_topic,satisfaction_score,knowledge_before,knowledge_after,used_skill,service_access,follow_up_requested,preferred_channel,open_comment,completion_minutes,qc_missing_required,qc_duplicate_response_id,qc_invalid_code,qc_date_consistency,qc_out_of_range,qc_region_site_consistency,qc_skip_logic,qc_issue_count,qc_any_issue,theme
SUB-0006,SYN-0006,yes,1.0.0,ROUND_2,2025-08-22,2025-05-07,SOUTH,S03,ENUM_04,yes,18_24,man,2,no,yes,2025-05-10,planning,2,3,4,no,2,no,,More time for questions and practice would improve the training.,19.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Request for more content
SUB-0012,SYN-0012,yes,1.0.0,ROUND_2,2025-05-27,2025-02-16,WEST,W03,ENUM_08,yes,35_44,woman,3,no,yes,2025-04-18,leadership,4,2,4,yes,4,no,,More time for questions and practice would improve the training.,29.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Request for more content
SUB-0021,SYN-0021,yes,1.0.0,ROUND_1,2025-09-12,2025-06-03,NORTH,N03,ENUM_02,yes,18_24,man,2,no,yes,2025-07-23,leadership,5,1,3,no,4,no,,I would like more examples about budgeting and record keeping.,27.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Request for more content
SUB-0026,SYN-0026,yes,1.0.0,ROUND_2,2025-05-14,2025-02-23,EAST,E01,ENUM_02,yes,35_44,man,4,no,yes,2025-03-03,planning,4,3,5,yes,4,no,,The facilitator explained the topic clearly and respectfully.,17.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0027,SYN-0027,yes,1.0.0,ROUND_1,2025-07-31,2025-04-15,WEST,W02,ENUM_03,yes,25_34,woman,3,no,yes,2025-05-01,digital_skills,4,1,3,no,3,no,,The facilitator explained the topic clearly and respectfully.,33.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0028,SYN-0028,yes,1.0.0,ROUND_2,2025-04-02,2024-11-19,NORTH,N03,ENUM_04,yes,25_34,man,3,no,yes,2024-12-18,planning,4,2,2,no,5,yes,community_meeting,The facilitator explained the topic clearly and respectfully.,16.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0036,SYN-0036,yes,1.0.0,ROUND_1,2025-05-03,2025-03-10,WEST,W01,ENUM_06,yes,18_24,man,3,no,yes,2025-04-28,planning,2,2,3,no,4,no,,I have already used one of the planning tools from the session.,19.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0041,SYN-0041,yes,1.0.0,ROUND_2,2025-08-08,2025-05-13,EAST,E03,ENUM_06,yes,55_plus,man,7,no,yes,2025-07-13,planning,4,1,3,yes,5,no,,The facilitator explained the topic clearly and respectfully.,17.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0067,SYN-0067,yes,1.0.0,ROUND_2,2025-04-17,2025-03-07,NORTH,N02,ENUM_01,yes,25_34,man,3,no,yes,2025-04-02,planning,3,3,4,yes,4,no,,A location closer to the community would improve attendance.,26.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Access and materials
SUB-0068,SYN-0068,yes,1.0.0,ROUND_2,2025-04-16,2025-02-10,EAST,E01,ENUM_05,yes,25_34,woman,5,no,yes,2025-03-07,digital_skills,4,1,2,yes,4,yes,radio,The practical examples made the sessions easier to understand.,28.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Positive learning experience
SUB-0069,SYN-0069,yes,1.0.0,ROUND_1,2025-07-29,2025-03-19,EAST,E02,ENUM_99,yes,55_plus,man,4,no,yes,2025-07-25,leadership,4,3,3,yes,3,no,,Printed materials would help people who cannot attend every session.,6.6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,TRUE,Access and materials
SUB-0070,SYN-0070,yes,1.0.0,ROUND_2,2025-08-11,2025-03-18,WEST,W02,ENUM_04,yes,45_54,woman,7,no,yes,2025-06-08,leadership,3,3,3,no,2,yes,radio,Printed materials would help people who cannot attend every session.,5.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Access and materials
SUB-0074,SYN-0074,yes,1.0.0,ROUND_1,2025-08-26,2025-05-27,SOUTH,S03,ENUM_06,yes,25_34,woman,6,no,yes,2025-08-16,financial_skills,4,1,2,yes,4,no,,Travel to the meeting location was difficult during bad weather.,21.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Access and materials
SUB-0087,SYN-0087,yes,1.0.0,ROUND_2,2025-06-08,2025-01-26,WEST,W02,ENUM_05,yes,55_plus,man,8,no,yes,2025-03-02,digital_skills,4,4,4,yes,2,yes,radio,I would like more examples about budgeting and record keeping.,19.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Request for more content
SUB-0094,SYN-0094,yes,1.0.0,ROUND_1,2025-08-31,2025-05-10,SOUTH,S03,ENUM_01,yes,45_54,man,6,no,yes,2025-07-20,leadership,5,3,5,no,3,yes,community_meeting,A location closer to the community would improve attendance.,16.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Access and materials
SUB-0095,SYN-0095,yes,1.0.0,ROUND_2,2025-05-03,2024-12-28,EAST,E01,ENUM_08,yes,55_plus,woman,6,no,yes,2025-03-13,digital_skills,4,3,4,yes,2,no,,I would like more examples about budgeting and record keeping.,18.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Request for more content
SUB-0099,SYN-0099,yes,1.0.0,ROUND_2,2025-06-05,2025-03-03,EAST,E02,ENUM_04,yes,25_34,woman,5,no,yes,2025-05-03,digital_skills,5,1,1,yes,4,yes,printed_material,Printed materials would help people who cannot attend every session.,11.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Access and materials
SUB-0108,SYN-0108,yes,1.0.0,ROUND_1,2025-04-02,2024-12-23,WEST,W02,ENUM_08,yes,55_plus,woman,4,no,yes,2025-03-30,planning,3,1,3,yes,3,no,,Travel to the meeting location was difficult during bad weather.,26.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Access and materials
SUB-0113,SYN-0113,yes,1.0.0,ROUND_2,2025-09-12,2025-07-28,NORTH,N03,ENUM_05,yes,35_44,non_binary,5,no,yes,2025-08-28,leadership,4,3,5,no,3,no,,Shorter sessions on more days would be easier to attend.,22.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,Timing and scheduling
