submission_id,response_id,synthetic_data,survey_version,survey_round,interview_date,program_start_date,region_code,site_code,enumerator_code,consent,age_group,gender,household_size,disability_access,participated_training,training_date,training_topic,satisfaction_score,knowledge_before,knowledge_after,used_skill,service_access,follow_up_requested,preferred_channel,open_comment,completion_minutes
SUB-0064,SYN-0064,yes,1.0.0,ROUND_2,2025-09-07,2025-05-16,NORTH,N01,ENUM_05,yes,35_44,man,4,no,yes,2025-09-05,digital_skills,3,1,2,no,1,no,,,19.8
SUB-0021,SYN-0021,yes,1.0.0,ROUND_1,2025-09-12,2025-06-03,NORTH,N03,ENUM_02,yes,18_24,man,2,no,yes,2025-07-23,leadership,5,1,3,no,4,no,,I would like more examples about budgeting and record keeping.,27.3
SUB-0089,SYN-0089,yes,1.0.0,ROUND_1,2025-09-02,2025-05-26,NORTH,N02,ENUM_04,yes,45_54,woman,6,no,no,,,,,,,4,no,,,30.1
SUB-0057,SYN-0057,yes,1.0.0,ROUND_2,2025-09-02,2025-06-16,WEST,W02,ENUM_03,yes,25_34,woman,3,no,yes,2025-09-01,financial_skills,4,3,4,no,3,no,,,26.5
SUB-0190,SYN-0190,yes,1.0.0,ROUND_1,2025-07-21,2025-06-08,EAST,E03,ENUM_07,yes,25_34,man,3,yes,yes,2025-07-10,financial_skills,4,3,4,no,3,no,,,27.2
SUB-0108,SYN-0108,yes,1.0.0,ROUND_1,2025-04-02,2024-12-23,WEST,W02,ENUM_08,yes,55_plus,woman,4,no,yes,2025-03-30,planning,3,1,3,yes,3,no,,Travel to the meeting location was difficult during bad weather.,26.9
SUB-0304,SYN-0304,yes,1.0.0,ROUND_2,2025-08-21,2025-05-09,,W02,ENUM_05,yes,25_34,man,10,no,yes,2025-06-04,planning,4,4,5,no,2,no,,,21.2
SUB-0237,SYN-0237,yes,1.0.0,ROUND_2,2025-05-03,2025-02-23,NORTH,N02,ENUM_08,yes,45_54,man,4,no,yes,2025-04-10,planning,3,1,1,yes,3,no,,,4.5
SUB-0011,SYN-0011,yes,1.0.0,ROUND_2,2025-06-16,2025-05-08,WEST,W03,ENUM_03,yes,25_34,man,6,no,no,,,,,,,3,no,,,8.1
SUB-0198,SYN-0198,yes,1.0.0,ROUND_1,2025-06-02,2025-01-06,NORTH,N02,ENUM_03,yes,55_plus,woman,2,yes,yes,2025-04-22,digital_skills,4,4,4,no,1,no,,,14.1
SUB-0097,SYN-0097,yes,1.0.0,ROUND_2,2025-08-29,2025-05-07,NORTH,N03,ENUM_01,yes,18_24,man,4,no,yes,2025-08-29,financial_skills,5,2,3,no,4,no,,,28.8
