type,name,label,hint,required,relevant,constraint,constraint_message,calculation,appearance,choice_filter
note,synthetic_notice,SYNTHETIC DATA - NOT REAL PEOPLE OR PROGRAMME OPERATIONS,Portfolio demonstration only,,,,,,,
start,start,,,,,,,,,
end,end,,,,,,,,,
deviceid,deviceid,,,,,,,,,
calculate,synthetic_data,,,,,,,'yes',,
calculate,survey_version,,,,,,,'1.0.0',,
select_one yes_no,consent,Do you agree to continue with this fictional practice survey?,Do not enter any real personal information.,yes,,,,,,
note,no_consent_note,Thank you. The survey ends here.,,,${consent} = 'no',,,,,
begin_group,monitoring,Monitoring questions,,,${consent} = 'yes',,,,field-list,
select_one survey_round,survey_round,Survey round,,yes,,,,,,
date,interview_date,Interview date,Use a date from 1 April to 30 September 2025.,yes,,. >= date('2025-04-01') and . <= date('2025-09-30'),Enter a date in the survey period.,,,
date,program_start_date,Activity start date,,yes,,. <= ${interview_date},Start date cannot be after the interview.,,,
select_one region,region_code,Fictional region,,yes,,,,,,
select_one site,site_code,Fictional site,,yes,,,,,minimal,region_code=${region_code}
select_one enumerator,enumerator_code,Fictional enumerator code,,yes,,,,,,
select_one age_group,age_group,Age group,No exact birth date is collected.,yes,,,,,,
select_one gender,gender,Gender,,yes,,,,,,
integer,household_size,Household size,,yes,,. >= 1 and . <= 20,Enter a number from 1 to 20.,,,
select_one yes_no,disability_access,Was accessibility support needed?,,yes,,,,,,
select_one yes_no,participated_training,Did the respondent participate in training?,,yes,,,,,,
begin_group,training,Training follow-up,,,${participated_training} = 'yes',,,,field-list,
date,training_date,Training date,,yes,,. >= ${program_start_date} and . <= ${interview_date},Training must fall between the activity start and interview dates.,,,
select_one training_topic,training_topic,Main training topic,,yes,,,,,,
integer,satisfaction_score,Satisfaction score,1 = very dissatisfied; 5 = very satisfied,yes,,. >= 1 and . <= 5,Enter a score from 1 to 5.,,likert,
integer,knowledge_before,Knowledge before training,1 = low; 5 = high,yes,,. >= 1 and . <= 5,Enter a score from 1 to 5.,,likert,
integer,knowledge_after,Knowledge after training,1 = low; 5 = high,yes,,. >= 1 and . <= 5,Enter a score from 1 to 5.,,likert,
select_one yes_no,used_skill,Has a skill from the training been used?,,yes,,,,,,
end_group,training_end,,,,,,,,,
integer,service_access,Ease of accessing services,1 = very difficult; 5 = very easy,yes,,. >= 1 and . <= 5,Enter a score from 1 to 5.,,likert,
select_one yes_no,follow_up_requested,Would the respondent like more general information?,No contact details are collected.,yes,,,,,,
select_one preferred_channel,preferred_channel,Preferred non-personal information channel,,yes,${follow_up_requested} = 'yes',,,,,
text,open_comment,Optional comment,Do not enter names or other identifying details.,,,string-length(.) <= 300,Use no more than 300 characters.,,multiline,
end_group,monitoring_end,,,,,,,,,
